crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3,doy1,doy2,land_use,year
berm,3,10,3,20,plant,lmix,NA,NA,69,79,agrl76,1999
berm,9,1,9,15,tillage,fallplow,NA,NA,244,258,agrl76,1999
berm,9,16,10,1,kill_only,lmix,NA,NA,259,274,agrl76,1999
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl76,1999
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl76,1999
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl76,1999
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl138,1998
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl138,1998
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl138,1998
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl138,1998
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl138,1998
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl138,1998
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl138,1998
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl138,1998
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl138,1998
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl207,1998
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl207,1998
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl207,1998
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl207,1998
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl207,1998
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl207,1998
pota,9,1,9,15,tillage,fallplow,NA,NA,244,258,agrl207,1998
pota,10,1,10,15,fertilizer,swine_fr,broadcast,25000,274,288,agrl207,1998
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl208,1998
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl208,1998
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl208,1998
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl208,1998
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl208,1998
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl208,1998
